X,Y,OBJECTID,NAME,ADDRESS,USE_TYPE,WARD_ID,SCHOOL_SITE,POOL,POOL_NAME,CHILD_CARE,SENIOR_SERVICES,WEB_URL,PHONE,STATUS,XCOORD,YCOORD,ADDRID,FITNESS_CENTER
-77.03231861,38.92550934,1,14th and Girard Street Spray Park,14TH STREET NW AND GIRARD STREET NW,SPRAY PARK,1,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,,Open,397197.76,139736.68,900864,No
-77.03275081,38.93023856,2,14th and Park Road Spray Park,14TH STREET NW AND PARK ROAD NW,SPRAY PARK,1,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,,Open,397160.4711,140261.678,906284,No
-77.08072536,38.96345226,3,Chevy Chase RC Spray Park,5500 41ST STREET NW,SPRAY PARK,3,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 727-7714,Open,393004,143951.28,264727,No
-76.94468622,38.86919798,4,Fort Davis CC Spray Park,1400 41ST STREET SE,SPRAY PARK,7,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,(202) 645-9212,Open,404800.4,133486.63,295122,No
-77.0125884,38.82605898,5,Fort Greble Spray Park,MARTIN LUTHER KING JR AVENUE SW AND ELMIRA STREET SW,SPRAY PARK,8,,spray park,,,,http://dpr.dc.gov/page/recreation-centers,,Open,398907.1,128696.52,904021,No
-76.98310382,38.87259603,6,Anacostia Pool,1800 ANACOSTIA DRIVE SE,POOL,8,Kenilworth Elementary School,outdoor,Anacostia Fitness Pool,,,http://dpr.dc.gov/page/recreation-centers,(202) 724-1441,Open,401466.4,133862.52,295129,No
-76.9951657,38.83235134,7,Ferebee-Hope Aquatic Center,3999 8TH STREET SE,AQUATIC CENTER,8,Ferebee-Hope Elementary School,indoor,Ferebee Hope Pool,,,http://dpr.dc.gov/page/recreation-centers,(202) 645-3916,Open,400419.94,129394.95,294588,No
-76.9961144,38.86045713,8,Barry Farm Aquatic Center,1230 SUMNER ROAD SE,AQUATIC CENTER,8,no,indoor,Barry Farm  Aquatic Center,,,http://dpr.dc.gov/page/recreation-centers,(202) 730-0572,Open,400290.79,132532.6,285960,No
-76.97706971,38.85278122,9,Douglass Pool,"FREDERICK DOUGLASS CT. AND STANTON TER., SE",POOL,8,no,outdoor,Douglass Pool,,,http://dpr.dc.gov/page/recreation-centers,(202) 645-5045,Open,401990.5764,131663.0457,310261,No
-76.97798943,38.85771512,10,Fort Stanton Pool,1800 ERIE STREET SE,POOL,8,no,outdoor,Fort Stanton Pool,,,http://dpr.dc.gov/page/recreation-centers,(202) 645-5047,Open,401883.19,132207.7,302145,No
